Property_ID,Has_Gym,Has_Swimming_Pool,Has_Security,Has_Parking,Has_Power_Backup
PROP_0001,1,1,0,0,1
PROP_0002,0,1,0,0,1
PROP_0003,0,1,1,0,1
PROP_0004,1,1,0,1,0
PROP_0005,1,1,1,0,0
PROP_0006,1,0,1,0,0
PROP_0007,1,1,1,0,0
PROP_0008,1,1,1,1,0
PROP_0009,0,1,0,0,0
PROP_0010,0,0,1,1,1
PROP_0011,0,0,0,0,0
PROP_0012,0,0,1,1,1
PROP_0013,1,1,1,0,0
PROP_0014,1,0,1,1,1
PROP_0015,1,1,1,1,1
PROP_0016,1,0,0,0,1
PROP_0017,0,1,1,1,0
PROP_0018,1,0,0,1,1
PROP_0019,1,0,0,1,1
PROP_0020,1,1,0,0,0
PROP_0021,1,1,0,1,0
PROP_0022,0,1,1,0,0
PROP_0023,1,1,1,0,0
PROP_0024,1,1,0,1,1
PROP_0025,1,1,0,0,1
PROP_0026,1,1,1,0,0
PROP_0027,1,0,1,0,1
PROP_0028,1,1,1,0,0
PROP_0029,0,0,1,0,1
PROP_0030,1,0,1,0,0
PROP_0031,1,0,1,0,1
PROP_0032,1,1,1,1,0
PROP_0033,1,0,1,0,0
PROP_0034,0,1,0,0,1
PROP_0035,1,1,1,1,1
PROP_0036,0,1,0,0,1
PROP_0037,0,0,1,0,0
PROP_0038,0,0,0,1,0
PROP_0039,0,1,0,1,1
PROP_0040,0,0,1,1,0
PROP_0041,0,0,1,0,1
PROP_0042,1,0,0,0,1
PROP_0043,0,1,0,1,0
PROP_0044,1,1,0,1,1
PROP_0045,1,1,1,0,1
PROP_0046,0,0,1,1,0
PROP_0047,1,0,0,1,0
PROP_0048,0,0,1,0,1
PROP_0049,1,1,0,0,1
PROP_0050,1,1,0,1,0
PROP_0051,0,0,0,1,1
PROP_0052,1,1,0,1,0
PROP_0053,0,1,1,0,1
PROP_0054,0,1,1,0,1
PROP_0055,0,1,0,0,1
PROP_0056,1,1,0,0,0
PROP_0057,1,1,1,0,1
PROP_0058,1,1,1,1,1
PROP_0059,0,1,0,0,0
PROP_0060,1,1,0,0,1
PROP_0061,1,0,0,1,0
PROP_0062,1,1,0,0,0
PROP_0063,1,0,0,1,1
PROP_0064,0,1,0,0,1
PROP_0065,1,1,0,0,1
PROP_0066,0,1,0,1,0
PROP_0067,1,1,0,0,0
PROP_0068,0,1,0,1,1
PROP_0069,1,0,0,0,1
PROP_0070,1,0,1,1,0
PROP_0071,1,0,1,1,1
PROP_0072,1,1,1,1,1
PROP_0073,1,0,0,1,0
PROP_0074,0,0,0,1,0
PROP_0075,1,1,0,1,1
PROP_0076,1,0,0,1,1
PROP_0077,1,0,1,1,1
PROP_0078,1,0,1,1,1
PROP_0079,1,0,1,0,1
PROP_0080,1,1,1,1,1
PROP_0081,0,0,1,1,1
PROP_0082,1,0,0,0,1
PROP_0083,1,0,1,0,1
PROP_0084,1,0,1,0,1
PROP_0085,0,0,0,1,0
PROP_0086,0,1,1,1,1
PROP_0087,0,1,0,1,0
PROP_0088,0,0,0,0,1
PROP_0089,0,1,0,1,1
PROP_0090,0,0,0,1,1
PROP_0091,0,0,1,1,0
PROP_0092,1,0,0,1,1
PROP_0093,0,0,1,0,0
PROP_0094,1,1,0,1,1
PROP_0095,0,1,1,0,0
PROP_0096,1,1,0,0,1
PROP_0097,1,1,0,0,1
PROP_0098,1,0,0,0,0
PROP_0099,1,0,0,1,1
PROP_0100,1,1,1,1,1
PROP_0101,1,1,1,1,0
PROP_0102,0,1,1,1,1
PROP_0103,1,1,0,1,1
PROP_0104,1,1,1,1,0
PROP_0105,1,1,0,0,1
PROP_0106,1,1,0,0,0
PROP_0107,1,0,0,1,0
PROP_0108,1,1,0,1,0
PROP_0109,1,0,1,1,1
PROP_0110,0,1,1,1,1
PROP_0111,1,0,1,1,1
PROP_0112,1,0,0,1,1
PROP_0113,0,0,1,1,0
PROP_0114,1,1,0,0,0
PROP_0115,0,1,1,0,0
PROP_0116,1,1,0,1,0
PROP_0117,0,1,0,0,1
PROP_0118,0,0,0,1,1
PROP_0119,0,0,0,1,0
PROP_0120,1,1,0,0,1
PROP_0121,0,1,1,0,1
PROP_0122,1,1,1,1,1
PROP_0123,0,0,1,0,1
PROP_0124,0,0,0,1,1
PROP_0125,1,1,1,0,1
PROP_0126,1,0,0,0,0
PROP_0127,0,0,0,0,0
PROP_0128,1,0,0,0,0
PROP_0129,0,0,1,1,0
PROP_0130,0,1,1,1,0
PROP_0131,0,1,1,0,0
PROP_0132,1,0,1,1,1
PROP_0133,1,1,0,0,1
PROP_0134,1,0,0,0,0
PROP_0135,1,0,1,1,1
PROP_0136,0,1,1,0,1
PROP_0137,1,1,1,1,1
PROP_0138,0,0,1,1,0
PROP_0139,1,0,0,0,1
PROP_0140,0,1,1,0,0
PROP_0141,1,0,1,1,0
PROP_0142,0,1,1,0,0
PROP_0143,1,0,1,1,1
PROP_0144,0,1,1,1,1
PROP_0145,0,0,0,1,1
PROP_0146,0,1,0,1,0
PROP_0147,0,0,0,0,0
PROP_0148,1,0,0,1,0
PROP_0149,1,0,1,1,0
PROP_0150,0,0,0,1,1
PROP_0151,1,0,1,0,0
PROP_0152,0,0,0,0,0
PROP_0153,1,0,0,0,0
PROP_0154,1,0,0,0,0
PROP_0155,0,0,1,1,0
PROP_0156,1,1,0,0,0
PROP_0157,1,0,1,0,0
PROP_0158,0,0,0,1,0
PROP_0159,0,0,1,1,1
PROP_0160,1,0,1,1,0
PROP_0161,0,0,0,1,0
PROP_0162,1,1,1,1,1
PROP_0163,0,1,1,0,1
PROP_0164,0,1,1,0,1
PROP_0165,1,0,0,1,0
PROP_0166,0,0,1,0,1
PROP_0167,0,0,1,0,0
PROP_0168,0,1,0,1,1
PROP_0169,1,0,1,0,0
PROP_0170,1,0,1,0,1
PROP_0171,1,0,1,0,0
PROP_0172,1,1,0,1,1
PROP_0173,1,0,1,0,1
PROP_0174,0,1,0,0,1
PROP_0175,0,0,0,0,1
PROP_0176,1,1,0,0,0
PROP_0177,1,1,0,1,1
PROP_0178,0,0,1,0,1
PROP_0179,1,1,0,0,1
PROP_0180,1,1,1,0,1
PROP_0181,1,0,1,1,0
PROP_0182,0,0,1,0,0
PROP_0183,1,1,1,0,1
PROP_0184,1,1,1,1,0
PROP_0185,1,0,1,0,1
PROP_0186,1,0,0,1,0
PROP_0187,0,0,0,0,0
PROP_0188,1,1,0,1,0
PROP_0189,0,1,1,1,0
PROP_0190,1,0,0,0,1
PROP_0191,1,0,0,0,0
PROP_0192,0,0,1,0,0
PROP_0193,0,0,0,0,1
PROP_0194,1,0,1,1,0
PROP_0195,0,0,1,1,1
PROP_0196,0,0,0,0,0
PROP_0197,1,0,1,0,1
PROP_0198,1,0,0,1,1
PROP_0199,1,1,0,0,1
PROP_0200,1,0,0,0,1
PROP_0201,0,1,0,1,1
PROP_0202,1,0,1,1,1
PROP_0203,1,1,0,0,0
PROP_0204,0,0,1,1,0
PROP_0205,1,1,1,0,0
PROP_0206,0,0,0,0,0
PROP_0207,0,1,0,1,1
PROP_0208,1,0,1,1,0
PROP_0209,1,1,1,0,1
PROP_0210,1,1,0,0,1
PROP_0211,1,1,1,0,1
PROP_0212,1,0,1,0,0
PROP_0213,1,0,0,1,0
PROP_0214,0,0,0,1,1
PROP_0215,0,1,1,0,0
PROP_0216,0,0,1,0,1
PROP_0217,1,0,1,0,1
PROP_0218,1,1,1,0,0
PROP_0219,0,1,0,1,0
PROP_0220,1,0,0,1,1
PROP_0221,1,0,1,1,0
PROP_0222,0,1,1,1,1
PROP_0223,0,1,1,0,0
PROP_0224,0,1,1,0,0
PROP_0225,0,0,0,1,0
PROP_0226,1,1,1,0,0
PROP_0227,1,0,1,0,1
PROP_0228,1,1,1,0,1
PROP_0229,1,1,1,1,0
PROP_0230,0,0,0,0,0
PROP_0231,1,0,1,0,0
PROP_0232,1,1,0,1,0
PROP_0233,0,0,1,1,1
PROP_0234,0,0,0,1,1
PROP_0235,1,0,1,1,1
PROP_0236,0,1,0,0,0
PROP_0237,0,0,1,0,1
PROP_0238,1,0,1,1,1
PROP_0239,1,0,0,1,0
PROP_0240,0,0,0,1,1
PROP_0241,1,0,1,0,1
PROP_0242,1,0,0,0,1
PROP_0243,1,0,1,0,1
PROP_0244,1,0,0,0,0
PROP_0245,1,1,1,1,0
PROP_0246,1,1,1,0,0
PROP_0247,1,1,1,1,0
PROP_0248,1,1,0,1,1
PROP_0249,1,1,0,1,0
PROP_0250,0,1,1,1,1
PROP_0251,1,1,1,0,1
PROP_0252,0,0,1,0,0
PROP_0253,0,0,0,1,0
PROP_0254,1,1,0,1,1
PROP_0255,0,0,0,0,0
PROP_0256,0,1,0,1,0
PROP_0257,1,1,1,1,0
PROP_0258,1,1,1,0,1
PROP_0259,0,1,1,0,0
PROP_0260,1,0,0,0,0
PROP_0261,0,0,0,0,0
PROP_0262,1,1,1,0,0
PROP_0263,0,0,1,1,0
PROP_0264,1,0,1,0,0
PROP_0265,0,0,1,1,1
PROP_0266,1,0,0,0,0
PROP_0267,1,0,1,1,0
PROP_0268,1,1,0,0,1
PROP_0269,1,0,0,0,0
PROP_0270,0,1,1,0,0
PROP_0271,1,1,0,0,1
PROP_0272,0,1,1,1,1
PROP_0273,1,1,0,1,1
PROP_0274,0,0,0,0,0
PROP_0275,1,0,1,0,1
PROP_0276,1,1,0,0,1
PROP_0277,0,0,1,1,1
PROP_0278,0,0,1,0,0
