Property_ID,City,Property_Type,BHK,Built_up_Area_SqFt,Price_INR,Furnishing_Status,Transaction_Type,Construction_Status,Listing_Date,Agent_ID
PROP_0001,Ambala,Penthouse,5,3861,16982455,Semi-Furnished,Resale,Under Construction,2023-01-20,AGT_017
PROP_0002,Noida,Apartment,4,3123,26794844,Unfurnished,Resale,Under Construction,2023-08-27,AGT_015
PROP_0003,Noida,Penthouse,3,3932,33226221,Unfurnished,New Property,Under Construction,2023-08-23,AGT_002
PROP_0004,Ambala,Villa,2,4512,17528116,Unfurnished,New Property,Ready to Move,2023-11-15,AGT_004
PROP_0005,Noida,Villa,1,4411,35915460,Furnished,New Property,Under Construction,2023-06-10,AGT_005
PROP_0006,Noida,Apartment,1,2724,22594391,Unfurnished,New Property,Ready to Move,2023-08-28,AGT_003
PROP_0007,Noida,Villa,2,1879,16435014,Semi-Furnished,New Property,Ready to Move,2023-11-21,AGT_022
PROP_0008,Bangalore,Villa,5,1547,15756102,Unfurnished,New Property,Under Construction,2023-02-12,AGT_002
PROP_0009,Ambala,Penthouse,4,3952,15745086,Furnished,New Property,Under Construction,2023-12-18,AGT_024
PROP_0010,Delhi,Penthouse,4,2453,22399234,Semi-Furnished,New Property,Under Construction,2023-10-08,AGT_007
PROP_0011,Noida,Apartment,4,1073,10567462,Unfurnished,Resale,Under Construction,2024-02-05,AGT_001
PROP_0012,Hyderabad,Villa,2,974,9658714,Semi-Furnished,Resale,Under Construction,2023-02-22,AGT_002
PROP_0013,Gurgaon,Villa,1,1038,8708351,Furnished,New Property,Under Construction,2023-10-28,AGT_016
PROP_0014,Noida,Villa,1,473,4922553,Unfurnished,Resale,Under Construction,2023-10-12,AGT_016
PROP_0015,Jaipur,Penthouse,5,3064,13518072,Furnished,New Property,Ready to Move,2023-07-08,AGT_016
PROP_0016,Noida,Apartment,2,2694,22717793,Semi-Furnished,Resale,Ready to Move,2023-08-10,AGT_025
PROP_0017,Mumbai,Apartment,3,4718,40011026,Unfurnished,New Property,Under Construction,2023-07-29,AGT_020
PROP_0018,Bangalore,Independent House,2,4092,33542392,Semi-Furnished,New Property,Ready to Move,2024-02-05,AGT_004
PROP_0019,Hyderabad,Penthouse,2,2627,21860672,Semi-Furnished,Resale,Under Construction,2024-02-20,AGT_022
PROP_0020,Chandigarh,Independent House,4,473,4227872,Semi-Furnished,New Property,Ready to Move,2023-03-22,AGT_003
PROP_0021,Gurgaon,Apartment,5,2572,22962361,Unfurnished,Resale,Under Construction,2023-11-06,AGT_004
PROP_0022,Noida,Penthouse,3,4290,35627995,Furnished,Resale,Under Construction,2023-10-19,AGT_022
PROP_0023,Ambala,Penthouse,3,4409,17168644,Unfurnished,New Property,Ready to Move,2023-08-17,AGT_022
PROP_0024,Chandigarh,Independent House,2,1939,8685390,Semi-Furnished,New Property,Ready to Move,2023-08-14,AGT_013
PROP_0025,Noida,Apartment,4,4253,36726296,Semi-Furnished,New Property,Ready to Move,2023-04-08,AGT_017
PROP_0026,Lucknow,Penthouse,2,3741,14089097,Unfurnished,New Property,Under Construction,2023-03-11,AGT_013
PROP_0027,Gurgaon,Independent House,1,969,8776100,Furnished,Resale,Ready to Move,2023-03-13,AGT_011
PROP_0028,Delhi,Villa,2,539,5138541,Furnished,Resale,Under Construction,2023-10-02,AGT_002
PROP_0029,Chandigarh,Independent House,5,4539,19050262,Unfurnished,New Property,Under Construction,2023-01-07,AGT_019
PROP_0030,Hyderabad,Villa,3,3227,27334273,Semi-Furnished,Resale,Under Construction,2023-08-07,AGT_025
PROP_0031,Chandigarh,Penthouse,3,4249,16422986,Semi-Furnished,New Property,Ready to Move,2023-10-25,AGT_001
PROP_0032,Noida,Apartment,1,1048,8690802,Semi-Furnished,New Property,Ready to Move,2023-08-17,AGT_024
